,label,watts
1876,Ceiling Fans & Conventional Fridge & LED TV & Inverter Deep Freezer,484.2
8976,Ceiling Fans & LED Bulbs & Iron & Washing Machine & Microwave Oven,2523.4
21124,Ceiling Fans & LED Tube Light & LED TV,196.7
9194,Ceiling Fans & LED Bulbs & LED TV & Inverter Deep Freezer,314.6
25072,Conventional Fridge & LED TV & Inverter Deep Freezer,363.3
12933,Ceiling Fans & LED Bulbs & LED Tube Light & Iron & LED TV & Microwave Oven,2228.8
4326,Ceiling Fans & Iron & Washing Machine & LED TV & Microwave Oven & Inverter Deep Freezer,2693.5
12662,Ceiling Fans & LED Bulbs & LED Tube Light & Iron & Inverter Deep Freezer,1291.6
15129,Ceiling Fans & LED Bulbs & LED Tube Light & Washing Machine & Microwave Oven,1517.6
44392,LED Tube Light & LED TV,81.1
40962,LED Tube Light & Conventional Fridge & Iron & Washing Machine & LED TV,1646.7
28300,LED Bulbs & Conventional Fridge & Iron & LED TV,1272.0
17980,Ceiling Fans & LED Tube Light & Conventional Fridge & Iron & Washing Machine & LED TV & Microwave Oven,2768.9
42855,LED Tube Light & Inverter Deep Freezer,145.1
5872,Ceiling Fans & LED Bulbs & Conventional Fridge & Iron & Washing Machine & LED TV & Inverter Deep Freezer,1885.4
7479,Ceiling Fans & LED Bulbs & Conventional Fridge & Washing Machine & Microwave Oven & Inverter Deep Freezer,1803.2
28108,LED Bulbs & Conventional Fridge & Iron,1215.6
8478,Ceiling Fans & LED Bulbs & Iron & Washing Machine & Inverter Deep Freezer,1643.4
36058,LED Bulbs & LED Tube Light & Iron & LED TV & Inverter Deep Freezer,1230.7
39679,LED TV & Microwave Oven & Inverter Deep Freezer,1182.6
39493,LED TV,60.0
42453,LED Tube Light & Conventional Fridge & Washing Machine & LED TV & Microwave Oven,1628.3
5211,Ceiling Fans & LED Bulbs & Conventional Fridge & Iron & LED TV & Microwave Oven,2389.5
34438,LED Bulbs & LED Tube Light & Conventional Fridge & LED TV,265.9
16914,Ceiling Fans & LED Tube Light & Conventional Fridge & Iron,1341.5
9064,Ceiling Fans & LED Bulbs & Iron & Washing Machine & Microwave Oven & Inverter Deep Freezer,2646.1
37697,LED Bulbs & LED Tube Light & Microwave Oven & Inverter Deep Freezer,1150.6
20226,Ceiling Fans & LED Tube Light & Iron & Microwave Oven,2155.5
3036,Ceiling Fans & Inverter Deep Freezer,239.6
15516,Ceiling Fans & LED Bulbs & Washing Machine,502.2
38957,LED Bulbs & Washing Machine & LED TV & Inverter Deep Freezer,564.0
14487,Ceiling Fans & LED Bulbs & LED Tube Light & Microwave Oven & Inverter Deep Freezer,1271.1
8322,Ceiling Fans & LED Bulbs & Iron & Microwave Oven & Inverter Deep Freezer,2270.8
33207,LED Bulbs & LED Tube Light & Conventional Fridge & Iron & LED TV,1293.9
31300,LED Bulbs & Iron & LED TV & Microwave Oven,2096.3
2494,Ceiling Fans & Conventional Fridge & Washing Machine & LED TV,726.2
28518,LED Bulbs & Conventional Fridge & Iron & LED TV & Microwave Oven & Inverter Deep Freezer,2391.4
13352,Ceiling Fans & LED Bulbs & LED Tube Light & Iron & Washing Machine,1542.2
36233,LED Bulbs & LED Tube Light & Iron & LED TV & Microwave Oven & Inverter Deep Freezer,2231.4
42363,LED Tube Light & Conventional Fridge & Washing Machine & LED TV & Inverter Deep Freezer,751.4
25877,Conventional Fridge & Washing Machine & LED TV & Microwave Oven,1606.6
14303,Ceiling Fans & LED Bulbs & LED Tube Light & LED TV & Microwave Oven & Inverter Deep Freezer,1331.3
16084,Ceiling Fans & LED Bulbs & Washing Machine & Microwave Oven,1504.4
39116,LED Bulbs & Washing Machine & LED TV & Microwave Oven,1445.3
12287,Ceiling Fans & LED Bulbs & LED Tube Light & Conventional Fridge & Washing Machine & Microwave Oven,1699.7
34415,LED Bulbs & LED Tube Light & Conventional Fridge & LED TV,268.2
38371,LED Bulbs & LED Tube Light & Washing Machine & Microwave Oven,1401.6
40531,LED Tube Light & Conventional Fridge & Iron & LED TV & Microwave Oven & Inverter Deep Freezer,2397.3
24446,Conventional Fridge & Iron & Washing Machine & LED TV,1631.4
28862,LED Bulbs & Conventional Fridge & Iron & Washing Machine & Inverter Deep Freezer,1703.4
18523,Ceiling Fans & LED Tube Light & Conventional Fridge & LED TV & Microwave Oven,1378.6
32961,LED Bulbs & LED Tube Light & Conventional Fridge & Iron,1228.0
46321,Washing Machine & LED TV & Microwave Oven & Inverter Deep Freezer,1552.7
30518,LED Bulbs & Conventional Fridge & Washing Machine & LED TV & Microwave Oven & Inverter Deep Freezer,1741.6
29214,LED Bulbs & Conventional Fridge & Iron & Washing Machine & LED TV & Microwave Oven & Inverter Deep Freezer,2764.6
8721,Ceiling Fans & LED Bulbs & Iron & Washing Machine & LED TV & Inverter Deep Freezer,1708.2
18532,Ceiling Fans & LED Tube Light & Conventional Fridge & LED TV & Microwave Oven,1379.5
18766,Ceiling Fans & LED Tube Light & Conventional Fridge & Microwave Oven & Inverter Deep Freezer,1438.9
21365,Ceiling Fans & LED Tube Light & LED TV & Microwave Oven,1200.7
7180,Ceiling Fans & LED Bulbs & Conventional Fridge & Washing Machine & LED TV & Inverter Deep Freezer,868.8
19901,Ceiling Fans & LED Tube Light & Iron & LED TV,1219.9
46017,Washing Machine & Inverter Deep Freezer,494.8
14085,Ceiling Fans & LED Bulbs & LED Tube Light & LED TV,212.7
15780,Ceiling Fans & LED Bulbs & Washing Machine & LED TV & Inverter Deep Freezer,681.2
13909,Ceiling Fans & LED Bulbs & LED Tube Light & Iron & Washing Machine & Microwave Oven,2543.3
31920,LED Bulbs & Iron & Washing Machine & LED TV & Inverter Deep Freezer,1587.6
13576,Ceiling Fans & LED Bulbs & LED Tube Light & Iron & Washing Machine & LED TV & Inverter Deep Freezer,1721.2
25077,Conventional Fridge & LED TV & Inverter Deep Freezer,363.8
43582,LED Tube Light & Iron & Microwave Oven & Inverter Deep Freezer,2165.0
20986,Ceiling Fans & LED Tube Light & Iron & Washing Machine & Microwave Oven,2529.2
40985,LED Tube Light & Conventional Fridge & Iron & Washing Machine & LED TV,1644.4
39746,LED TV & Microwave Oven & Inverter Deep Freezer,1185.6
35831,LED Bulbs & LED Tube Light & Iron,1052.4
20794,Ceiling Fans & LED Tube Light & Iron & Washing Machine & LED TV & Microwave Oven,2588.2
11321,Ceiling Fans & LED Bulbs & LED Tube Light & Conventional Fridge & LED TV & Inverter Deep Freezer,509.2
13927,Ceiling Fans & LED Bulbs & LED Tube Light & Iron & Washing Machine & Microwave Oven & Inverter Deep Freezer,2662.5
38742,LED Bulbs & Washing Machine,384.3
35231,LED Bulbs & LED Tube Light & Conventional Fridge & Washing Machine & LED TV & Inverter Deep Freezer,761.5
39297,LED Bulbs & Washing Machine & Microwave Oven,1385.2
34763,LED Bulbs & LED Tube Light & Conventional Fridge & Microwave Oven,1209.8
40652,LED Tube Light & Conventional Fridge & Iron & Microwave Oven,2220.2
21748,Ceiling Fans & LED Tube Light & Washing Machine,508.0
42876,LED Tube Light & Iron,1036.4
42744,LED Tube Light & Conventional Fridge & Washing Machine & Microwave Oven & Inverter Deep Freezer,1693.1
46142,Washing Machine & LED TV & Inverter Deep Freezer,552.4
14350,Ceiling Fans & LED Bulbs & LED Tube Light & LED TV & Microwave Oven & Inverter Deep Freezer,1334.9
15507,Ceiling Fans & LED Bulbs & Washing Machine,498.2
15520,Ceiling Fans & LED Bulbs & Washing Machine,502.6
10454,Ceiling Fans & LED Bulbs & LED Tube Light & Conventional Fridge & Iron & Microwave Oven & Inverter Deep Freezer,2476.6
25328,Conventional Fridge & Microwave Oven,1176.9
25636,Conventional Fridge & Washing Machine & Inverter Deep Freezer,675.1
6420,Ceiling Fans & LED Bulbs & Conventional Fridge & LED TV & Inverter Deep Freezer,495.6
5304,Ceiling Fans & LED Bulbs & Conventional Fridge & Iron & LED TV & Microwave Oven & Inverter Deep Freezer,2512.3
37520,LED Bulbs & LED Tube Light & LED TV & Microwave Oven & Inverter Deep Freezer,1210.1
17937,Ceiling Fans & LED Tube Light & Conventional Fridge & Iron & Washing Machine & LED TV & Microwave Oven,2766.9
36887,LED Bulbs & LED Tube Light & Iron & Washing Machine & LED TV & Microwave Oven,2476.7
31443,LED Bulbs & Iron & Microwave Oven,2032.4
20913,Ceiling Fans & LED Tube Light & Iron & Washing Machine & LED TV & Microwave Oven & Inverter Deep Freezer,2714.0
6600,Ceiling Fans & LED Bulbs & Conventional Fridge & LED TV & Microwave Oven & Inverter Deep Freezer,1495.4
30888,LED Bulbs & Iron,1028.0
37005,LED Bulbs & LED Tube Light & Iron & Washing Machine & LED TV & Microwave Oven & Inverter Deep Freezer,2604.5
26885,Iron & Microwave Oven,2015.9
46076,Washing Machine & LED TV,426.9
33812,LED Bulbs & LED Tube Light & Conventional Fridge & Iron & Washing Machine & Inverter Deep Freezer,1723.7
24743,Conventional Fridge & Iron & Washing Machine & LED TV & Microwave Oven & Inverter Deep Freezer,2756.8
18491,Ceiling Fans & LED Tube Light & Conventional Fridge & LED TV & Microwave Oven,1376.1
5875,Ceiling Fans & LED Bulbs & Conventional Fridge & Iron & Washing Machine & LED TV & Inverter Deep Freezer,1885.7
36179,LED Bulbs & LED Tube Light & Iron & LED TV & Microwave Oven,2110.8
37456,LED Bulbs & LED Tube Light & LED TV & Microwave Oven,1091.1
7565,Ceiling Fans & LED Bulbs & Inverter Deep Freezer,253.7
13674,Ceiling Fans & LED Bulbs & LED Tube Light & Iron & Washing Machine & LED TV & Microwave Oven,2597.5
16900,Ceiling Fans & LED Tube Light & Conventional Fridge & Iron,1340.1
27481,Iron & Washing Machine & LED TV & Microwave Oven,2450.0
27449,Iron & Washing Machine & LED TV & Microwave Oven,2451.4
32701,LED Bulbs & LED Tube Light,26.7
15081,Ceiling Fans & LED Bulbs & LED Tube Light & Washing Machine & LED TV & Microwave Oven & Inverter Deep Freezer,1705.2
27669,Iron & Washing Machine & Microwave Oven & Inverter Deep Freezer,2512.4
37868,LED Bulbs & LED Tube Light & Washing Machine & Inverter Deep Freezer,521.7
39246,LED Bulbs & Washing Machine & Microwave Oven,1379.4
30639,LED Bulbs & Conventional Fridge & Washing Machine & Microwave Oven,1563.9
33311,LED Bulbs & LED Tube Light & Conventional Fridge & Iron & LED TV & Microwave Oven,2289.4
399,Ceiling Fans & Conventional Fridge & Iron & Inverter Deep Freezer,1439.4
42525,LED Tube Light & Conventional Fridge & Washing Machine & LED TV & Microwave Oven & Inverter Deep Freezer,1748.1
12790,Ceiling Fans & LED Bulbs & LED Tube Light & Iron & LED TV,1230.6
39805,LED Tube Light,14.1
31070,LED Bulbs & Iron & LED TV,1088.0
35500,LED Bulbs & LED Tube Light & Conventional Fridge & Washing Machine & Microwave Oven,1578.9
7220,Ceiling Fans & LED Bulbs & Conventional Fridge & Washing Machine & LED TV & Microwave Oven,1738.8
35906,LED Bulbs & LED Tube Light & Iron & Inverter Deep Freezer,1173.8
3732,Ceiling Fans & Iron & Microwave Oven & Inverter Deep Freezer,2262.8
24013,Conventional Fridge & Iron & LED TV & Microwave Oven & Inverter Deep Freezer,2386.6
29834,LED Bulbs & Conventional Fridge & LED TV & Microwave Oven & Inverter Deep Freezer,1378.3
25718,Conventional Fridge & Washing Machine & LED TV,611.2
21875,Ceiling Fans & LED Tube Light & Washing Machine & LED TV,564.4
898,Ceiling Fans & Conventional Fridge & Iron & Microwave Oven,2323.5
564,Ceiling Fans & Conventional Fridge & Iron & LED TV & Inverter Deep Freezer,1501.1
8940,Ceiling Fans & LED Bulbs & Iron & Washing Machine & Microwave Oven,2519.7
12340,Ceiling Fans & LED Bulbs & LED Tube Light & Conventional Fridge & Washing Machine & Microwave Oven,1701.1
31872,LED Bulbs & Iron & Washing Machine & LED TV & Inverter Deep Freezer,1582.7
16823,Ceiling Fans & LED Tube Light & Conventional Fridge & Inverter Deep Freezer,444.5
45294,LED Tube Light & Washing Machine & LED TV & Microwave Oven,1450.3
23856,Conventional Fridge & Iron & LED TV & Microwave Oven,2258.5
38746,LED Bulbs & Washing Machine,384.7
8718,Ceiling Fans & LED Bulbs & Iron & Washing Machine & LED TV & Inverter Deep Freezer,1707.9
25742,Conventional Fridge & Washing Machine & LED TV,613.6
41123,LED Tube Light & Conventional Fridge & Iron & Washing Machine & LED TV & Inverter Deep Freezer,1774.8
14222,Ceiling Fans & LED Bulbs & LED Tube Light & LED TV & Microwave Oven,1207.3
10126,Ceiling Fans & LED Bulbs & LED Tube Light & Conventional Fridge & Iron & LED TV & Microwave Oven,2407.4
26977,Iron & Microwave Oven & Inverter Deep Freezer,2138.8
41499,LED Tube Light & Conventional Fridge & LED TV,257.6
33677,LED Bulbs & LED Tube Light & Conventional Fridge & Iron & Washing Machine,1599.2
3734,Ceiling Fans & Iron & Microwave Oven & Inverter Deep Freezer,2262.6
15297,Ceiling Fans & LED Bulbs & Microwave Oven,1131.0
39072,LED Bulbs & Washing Machine & LED TV & Microwave Oven,1438.6
19007,Ceiling Fans & LED Tube Light & Conventional Fridge & Washing Machine & Inverter Deep Freezer,814.5
11987,Ceiling Fans & LED Bulbs & LED Tube Light & Conventional Fridge & Washing Machine & LED TV,762.2
43224,LED Tube Light & Iron & LED TV & Inverter Deep Freezer,1221.0
8661,Ceiling Fans & LED Bulbs & Iron & Washing Machine & LED TV & Inverter Deep Freezer,1703.3
33195,LED Bulbs & LED Tube Light & Conventional Fridge & Iron & LED TV,1292.7
42987,LED Tube Light & Iron & Inverter Deep Freezer,1157.4
33702,LED Bulbs & LED Tube Light & Conventional Fridge & Iron & Washing Machine,1596.7
4704,Ceiling Fans & LED Bulbs & Conventional Fridge,313.9
13683,Ceiling Fans & LED Bulbs & LED Tube Light & Iron & Washing Machine & LED TV & Microwave Oven,2596.6
8140,Ceiling Fans & LED Bulbs & Iron & LED TV & Microwave Oven & Inverter Deep Freezer,2330.8
40196,LED Tube Light & Conventional Fridge & Iron & Inverter Deep Freezer,1343.1
32025,LED Bulbs & Iron & Washing Machine & LED TV & Microwave Oven,2466.0
28577,LED Bulbs & Conventional Fridge & Iron & Microwave Oven,2211.6
34301,LED Bulbs & LED Tube Light & Conventional Fridge & Iron & Washing Machine & Microwave Oven,2604.1
16570,Ceiling Fans & LED Tube Light,137.1
3227,Ceiling Fans & Iron & Inverter Deep Freezer,1258.7
46271,Washing Machine & LED TV & Microwave Oven,1425.6
44507,LED Tube Light & LED TV & Microwave Oven,1077.1
15999,Ceiling Fans & LED Bulbs & Washing Machine & LED TV & Microwave Oven & Inverter Deep Freezer,1688.0
23152,Ceiling Fans & Washing Machine & Microwave Oven,1486.1
17363,Ceiling Fans & LED Tube Light & Conventional Fridge & Iron & LED TV & Microwave Oven & Inverter Deep Freezer,2523.9
6890,Ceiling Fans & LED Bulbs & Conventional Fridge & Washing Machine,684.1
33815,LED Bulbs & LED Tube Light & Conventional Fridge & Iron & Washing Machine & Inverter Deep Freezer,1724.0
31733,LED Bulbs & Iron & Washing Machine & Inverter Deep Freezer,1527.1
23073,Ceiling Fans & Washing Machine & LED TV & Microwave Oven & Inverter Deep Freezer,1673.6
21070,Ceiling Fans & LED Tube Light & Iron & Washing Machine & Microwave Oven & Inverter Deep Freezer,2651.5
501,Ceiling Fans & Conventional Fridge & Iron & LED TV,1380.2
26927,Iron & Microwave Oven,2023.8
6756,Ceiling Fans & LED Bulbs & Conventional Fridge & Microwave Oven & Inverter Deep Freezer,1432.7
19044,Ceiling Fans & LED Tube Light & Conventional Fridge & Washing Machine & LED TV,745.4
5343,Ceiling Fans & LED Bulbs & Conventional Fridge & Iron & LED TV & Microwave Oven & Inverter Deep Freezer,2517.1
5411,Ceiling Fans & LED Bulbs & Conventional Fridge & Iron & Microwave Oven,2327.7
23582,Conventional Fridge & Iron & Inverter Deep Freezer,1321.6
19412,Ceiling Fans & LED Tube Light & Conventional Fridge & Washing Machine & Microwave Oven,1685.0
45472,LED Tube Light & Washing Machine & Microwave Oven,1389.9
41223,LED Tube Light & Conventional Fridge & Iron & Washing Machine & LED TV & Microwave Oven & Inverter Deep Freezer,2770.9
9405,Ceiling Fans & LED Bulbs & LED TV & Microwave Oven & Inverter Deep Freezer,1311.7
24324,Conventional Fridge & Iron & Washing Machine & Inverter Deep Freezer,1690.2
28651,LED Bulbs & Conventional Fridge & Iron & Microwave Oven,2215.3
38786,LED Bulbs & Washing Machine & Inverter Deep Freezer,502.9
38747,LED Bulbs & Washing Machine,384.8
31844,LED Bulbs & Iron & Washing Machine & LED TV,1466.1
28542,LED Bulbs & Conventional Fridge & Iron & LED TV & Microwave Oven & Inverter Deep Freezer,2396.5
4449,Ceiling Fans & Iron & Washing Machine & Microwave Oven,2513.7
15606,Ceiling Fans & LED Bulbs & Washing Machine & Inverter Deep Freezer,625.1
35977,LED Bulbs & LED Tube Light & Iron & LED TV,1106.7
27889,LED Bulbs & Conventional Fridge,187.6
19806,Ceiling Fans & LED Tube Light & Iron & Inverter Deep Freezer,1282.5
25897,Conventional Fridge & Washing Machine & LED TV & Microwave Oven,1610.9
28463,LED Bulbs & Conventional Fridge & Iron & LED TV & Microwave Oven,2274.7
15031,Ceiling Fans & LED Bulbs & LED Tube Light & Washing Machine & LED TV & Microwave Oven & Inverter Deep Freezer,1701.3
38099,LED Bulbs & LED Tube Light & Washing Machine & LED TV & Inverter Deep Freezer,584.7
18959,Ceiling Fans & LED Tube Light & Conventional Fridge & Washing Machine & Inverter Deep Freezer,807.8
884,Ceiling Fans & Conventional Fridge & Iron & Microwave Oven,2322.1
12968,Ceiling Fans & LED Bulbs & LED Tube Light & Iron & LED TV & Microwave Oven,2230.2
33531,LED Bulbs & LED Tube Light & Conventional Fridge & Iron & Microwave Oven,2225.6
8617,Ceiling Fans & LED Bulbs & Iron & Washing Machine & LED TV,1583.9
4859,Ceiling Fans & LED Bulbs & Conventional Fridge & Iron,1328.3
23294,Ceiling Fans & Washing Machine & Microwave Oven & Inverter Deep Freezer,1617.5
28517,LED Bulbs & Conventional Fridge & Iron & LED TV & Microwave Oven & Inverter Deep Freezer,2391.5
35630,LED Bulbs & LED Tube Light & Conventional Fridge & Washing Machine & Microwave Oven & Inverter Deep Freezer,1703.5
842,Ceiling Fans & Conventional Fridge & Iron & Microwave Oven,2317.6
36434,LED Bulbs & LED Tube Light & Iron & Microwave Oven & Inverter Deep Freezer,2169.5
36871,LED Bulbs & LED Tube Light & Iron & Washing Machine & LED TV & Microwave Oven,2478.3
19474,Ceiling Fans & LED Tube Light & Conventional Fridge & Washing Machine & Microwave Oven & Inverter Deep Freezer,1810.9
23327,Conventional Fridge,176.8
22826,Ceiling Fans & Washing Machine & LED TV,553.2
34251,LED Bulbs & LED Tube Light & Conventional Fridge & Iron & Washing Machine & Microwave Oven,2596.4
30191,LED Bulbs & Conventional Fridge & Washing Machine & Inverter Deep Freezer,687.6
40087,LED Tube Light & Conventional Fridge & Iron,1218.3
18153,Ceiling Fans & LED Tube Light & Conventional Fridge & Iron & Washing Machine & Microwave Oven,2703.5
43313,LED Tube Light & Iron & LED TV & Microwave Oven,2102.4
21956,Ceiling Fans & LED Tube Light & Washing Machine & LED TV & Inverter Deep Freezer,688.4
43540,LED Tube Light & Iron & Microwave Oven & Inverter Deep Freezer,2156.7
33727,LED Bulbs & LED Tube Light & Conventional Fridge & Iron & Washing Machine,1601.3
7401,Ceiling Fans & LED Bulbs & Conventional Fridge & Washing Machine & Microwave Oven,1678.9
7781,Ceiling Fans & LED Bulbs & Iron & Inverter Deep Freezer,1275.2
32513,LED Bulbs & LED TV & Microwave Oven,1069.3
18149,Ceiling Fans & LED Tube Light & Conventional Fridge & Iron & Washing Machine & Microwave Oven,2703.9
34006,LED Bulbs & LED Tube Light & Conventional Fridge & Iron & Washing Machine & LED TV & Inverter Deep Freezer,1784.9
23683,Conventional Fridge & Iron & LED TV,1257.6
42986,LED Tube Light & Iron & Inverter Deep Freezer,1157.5
4772,Ceiling Fans & LED Bulbs & Conventional Fridge & Inverter Deep Freezer,430.9
36472,LED Bulbs & LED Tube Light & Iron & Microwave Oven & Inverter Deep Freezer,2175.8
18789,Ceiling Fans & LED Tube Light & Conventional Fridge & Microwave Oven & Inverter Deep Freezer,1436.6
21028,Ceiling Fans & LED Tube Light & Iron & Washing Machine & Microwave Oven & Inverter Deep Freezer,2650.2
5466,Ceiling Fans & LED Bulbs & Conventional Fridge & Iron & Microwave Oven & Inverter Deep Freezer,2454.3
27237,Iron & Washing Machine & LED TV,1447.1
40634,LED Tube Light & Conventional Fridge & Iron & Microwave Oven,2218.4
32034,LED Bulbs & Iron & Washing Machine & LED TV & Microwave Oven & Inverter Deep Freezer,2584.7
43893,LED Tube Light & Iron & Washing Machine & LED TV & Inverter Deep Freezer,1587.8
46502,Washing Machine & Microwave Oven & Inverter Deep Freezer,1492.8
32509,LED Bulbs & LED TV & Microwave Oven,1069.7
46199,Washing Machine & LED TV & Inverter Deep Freezer,554.8
21056,Ceiling Fans & LED Tube Light & Iron & Washing Machine & Microwave Oven & Inverter Deep Freezer,2647.4
15566,Ceiling Fans & LED Bulbs & Washing Machine & Inverter Deep Freezer,624.4
35064,LED Bulbs & LED Tube Light & Conventional Fridge & Washing Machine & Inverter Deep Freezer,700.0
21085,Ceiling Fans & LED Tube Light & Iron & Washing Machine & Microwave Oven & Inverter Deep Freezer,2653.0
7234,Ceiling Fans & LED Bulbs & Conventional Fridge & Washing Machine & LED TV & Microwave Oven,1742.1
26537,Iron & LED TV,1081.2
10568,Ceiling Fans & LED Bulbs & LED Tube Light & Conventional Fridge & Iron & Washing Machine & Inverter Deep Freezer,1841.7
2530,Ceiling Fans & Conventional Fridge & Washing Machine & LED TV,732.9
20190,Ceiling Fans & LED Tube Light & Iron & LED TV & Microwave Oven & Inverter Deep Freezer,2344.5
34176,LED Bulbs & LED Tube Light & Conventional Fridge & Iron & Washing Machine & LED TV & Microwave Oven & Inverter Deep Freezer,2783.7
14832,Ceiling Fans & LED Bulbs & LED Tube Light & Washing Machine & LED TV,580.0
22456,Ceiling Fans & Microwave Oven,1122.6
33956,LED Bulbs & LED Tube Light & Conventional Fridge & Iron & Washing Machine & LED TV & Inverter Deep Freezer,1781.6
38113,LED Bulbs & LED Tube Light & Washing Machine & LED TV & Inverter Deep Freezer,586.1
29744,LED Bulbs & Conventional Fridge & LED TV & Microwave Oven,1255.4
11648,Ceiling Fans & LED Bulbs & LED Tube Light & Conventional Fridge & Microwave Oven & Inverter Deep Freezer,1452.9
39987,LED Tube Light & Conventional Fridge & Inverter Deep Freezer,317.1
27231,Iron & Washing Machine & LED TV,1447.7
38731,LED Bulbs & Washing Machine,383.2
8755,Ceiling Fans & LED Bulbs & Iron & Washing Machine & LED TV & Microwave Oven,2580.0
22111,Ceiling Fans & LED Tube Light & Washing Machine & LED TV & Microwave Oven,1572.5
15262,Ceiling Fans & LED Bulbs & LED Tube Light & Washing Machine & Microwave Oven & Inverter Deep Freezer,1645.1
44390,LED Tube Light & LED TV,80.9
45351,LED Tube Light & Washing Machine & LED TV & Microwave Oven & Inverter Deep Freezer,1567.6
28985,LED Bulbs & Conventional Fridge & Iron & Washing Machine & LED TV,1642.3
27447,Iron & Washing Machine & LED TV & Microwave Oven,2451.2
5503,Ceiling Fans & LED Bulbs & Conventional Fridge & Iron & Microwave Oven & Inverter Deep Freezer,2450.6
17891,Ceiling Fans & LED Tube Light & Conventional Fridge & Iron & Washing Machine & LED TV & Inverter Deep Freezer,1892.1
38557,LED Bulbs & Microwave Oven,1014.0
44285,LED Tube Light & Iron & Washing Machine & Microwave Oven & Inverter Deep Freezer,2532.5
9988,Ceiling Fans & LED Bulbs & LED Tube Light & Conventional Fridge & Iron & LED TV,1412.5
35569,LED Bulbs & LED Tube Light & Conventional Fridge & Washing Machine & Microwave Oven,1583.5
9141,Ceiling Fans & LED Bulbs & LED TV,187.8
5455,Ceiling Fans & LED Bulbs & Conventional Fridge & Iron & Microwave Oven,2336.2
45796,No load,0.0
7679,Ceiling Fans & LED Bulbs & Iron,1148.4
5228,Ceiling Fans & LED Bulbs & Conventional Fridge & Iron & LED TV & Microwave Oven,2387.8
11212,Ceiling Fans & LED Bulbs & LED Tube Light & Conventional Fridge & LED TV,388.0
37416,LED Bulbs & LED Tube Light & LED TV & Microwave Oven,1088.4
9040,Ceiling Fans & LED Bulbs & Iron & Washing Machine & Microwave Oven & Inverter Deep Freezer,2641.8
7161,Ceiling Fans & LED Bulbs & Conventional Fridge & Washing Machine & LED TV & Inverter Deep Freezer,866.9
38205,LED Bulbs & LED Tube Light & Washing Machine & LED TV & Microwave Oven,1463.2
26161,Conventional Fridge & Washing Machine & Microwave Oven & Inverter Deep Freezer,1668.5
7705,Ceiling Fans & LED Bulbs & Iron,1153.7
13658,Ceiling Fans & LED Bulbs & LED Tube Light & Iron & Washing Machine & LED TV & Microwave Oven,2599.1
36149,LED Bulbs & LED Tube Light & Iron & LED TV & Microwave Oven,2107.7
29428,LED Bulbs & Conventional Fridge & Iron & Washing Machine & Microwave Oven & Inverter Deep Freezer,2701.4
23633,Conventional Fridge & Iron & Inverter Deep Freezer,1325.0
23024,Ceiling Fans & Washing Machine & LED TV & Microwave Oven & Inverter Deep Freezer,1672.8
31807,LED Bulbs & Iron & Washing Machine & LED TV,1462.4
16752,Ceiling Fans & LED Tube Light & Conventional Fridge & Inverter Deep Freezer,440.1
